heavy_1_0,1256908977,1256909149,1
heavy_1_1,1256909104,1256909235,1
heavy_1_2,1256909235,1256909320,1
heavy_1_3,1256909320,1256909502,1
heavy_1_4,1256909502,1256909573,1
heavy_2_0,1256909887,1256909928,1
heavy_2_1,1256909887,1256909928,1
heavy_3_0,1256926872,1256926989,1
heavy_3_1,1256926872,1256926989,1
heavy_4_0,1256927469,1256927505,1
heavy_4_1,1256927469,1256927505,1
heavy_6_0,1256928303,1256928330,1
heavy_6_1,1256928319,1256928396,1
heavy_7_0,1256933842,1256933918,1
heavy_7_1,1256933842,1256933918,1
heavy_7_2,1256933959,1256933991,1
heavy_7_3,1256933959,1256933991,1
heavy_8_0,1256933959,1256933991,1
heavy_8_1,1256933959,1256933991,1
heavy_9_0,1256936232,1256936268,1
heavy_9_1,1256936232,1256936268,1
heavy_9_2,1256936339,1256936419,1
heavy_9_3,1256936339,1256936419,1
heavy_10_0,1256936943,1256937004,1
heavy_10_1,1256936943,1256937004,1
heavy_11_0,1256937422,1256937454,1
heavy_11_1,1256937438,1256937454,1
heavy_12_0,1256938217,1256938247,1
heavy_12_1,1256938217,1256938247,1
heavy_13_0,1256938217,1256938247,1
heavy_13_1,1256938217,1256938247,1
heavy_12_2,1256938343,1256938415,1
heavy_12_3,1256938343,1256938415,1
heavy_13_2,1256938343,1256938415,1
heavy_13_3,1256938343,1256938415,1
heavy_14_0,1256938415,1256938487,1
heavy_14_1,1256938415,1256938487,1
heavy_14_2,1256938517,1256938553,1
heavy_14_3,1256938517,1256938553,1
heavy_15_0,1256938517,1256938553,1
heavy_15_1,1256938517,1256938553,1
heavy_16_0,1256939047,1256939503,1
heavy_16_1,1256939047,1256939503,1
heavy_16_2,1256939529,1256939611,1
heavy_16_3,1256939529,1256939611,1
heavy_17_0,1256939529,1256939611,1
heavy_17_1,1256939529,1256939611,1
heavy_18_0,1256939893,1256939974,1
heavy_18_1,1256939893,1256939974,1
heavy_19_0,1257164482,1257164522,2
heavy_19_1,1257164508,1257164599,2
heavy_20_0,1257263360,1257263573,3
heavy_20_1,1257263376,1257263573,3
heavy_21_0,1257263650,1257263846,3
heavy_21_1,1257263650,1257263846,3
heavy_22_0,1257332174,1257332368,3
heavy_22_1,1257332174,1257332368,3
heavy_23_0,1257333023,1257333279,2
heavy_23_1,1257333023,1257333279,2
heavy_24_0,1257357775,1257358092,4
heavy_24_1,1257357775,1257358314,4
heavy_25_0,1257358592,1257358871,4
heavy_25_1,1257358592,1257360540,4
heavy_26_0,1257358592,1257360820,4
heavy_26_1,1257358592,1257361039,4
heavy_test_1_0,1257360525,1257365971,4
heavy_test_1_1,1257360525,1257366158,4
heavy_test_2_0,1257360525,1257366433,4
heavy_test_2_1,1257360525,1257366666,4
heavy_test_3_0,1257360525,1257366850,4
heavy_test_3_1,1257360525,1257367122,4
heavy_test_4_0,1257360525,1257367351,4
heavy_test_4_1,1257360525,1257367574,4
heavy_test_5_0,1257360525,1257367805,4
heavy_test_5_1,1257360525,1257367990,4
heavy_test_6_0,1257360525,1257368266,4
heavy_test_6_1,1257360525,1257368492,4
heavy_test_7_0,1257360525,1257368721,4
